"vectorZ","resultados"
67.77202714048784,52.279829079753156+6.821881769209206*I
47.48839746359792,51.184737422351986+6.821881769209206*I
84.63597858314603,52.915605166404696+6.821881769209206*I
60.864463215567184,51.96040388376999+6.821881769209206*I
47.21640726261447,51.166031915925544+6.821881769209206*I
25.498249651616177,48.819902068037386+6.821881769209206*I
32.04425530452386,49.790733378979446+6.821881769209206*I
1.6403814039737057,46.9903485365521
67.81294567277862,52.281598670877486+6.821881769209206*I
64.72500475219618,52.14419664713713+6.821881769209206*I
96.87395429149413,53.28865891944566+6.821881769209206*I
69.79910244757133,52.365940585618915+6.821881769209206*I
95.08562859679654,53.23771373228454+6.821881769209206*I
58.4433081539396,51.83743461272965+6.821881769209206*I
34.78910568551794,50.104765760898566+6.821881769209206*I
73.11240868049228,52.500271789832205+6.821881769209206*I
97.27517171682035,53.29993785550152+6.821881769209206*I
76.00722073509863,52.611690551527516+6.821881769209206*I
13.637891488803902,43.0930753981515+6.821881769209206*I
8.88650791062527,45.68311220977331
80.78279975780362,52.78471559130431+6.821881769209206*I
34.46617932346379,50.069868949314525+6.821881769209206*I
27.78091698111311,49.204218466779686+6.821881769209206*I
34.79158746769863,50.10503201085342+6.821881769209206*I
36.613267683607546,50.292950614811176+6.821881769209206*I
88.0605913318449,53.026115885069785+6.821881769209206*I
77.3010607007902,52.65983681399004+6.821881769209206*I
91.60303065608139,53.13520289831633+6.821881769209206*I
38.67834609648824,50.4896572575883+6.821881769209206*I
6.1313795158844755,46.70243630195755
47.80573034587056,51.20637832052186+6.821881769209206*I
70.85135003352306,52.40943472974455+6.821881769209206*I
94.76102166667832,53.22834631432463+6.821881769209206*I
82.74454766711622,52.852264705843446+6.821881769209206*I
83.48826977467135,52.87737457186964+6.821881769209206*I
56.76729375178914,51.74842908779749+6.821881769209206*I
22.60572077321976,48.22434507888453+6.821881769209206*I
39.75963972724051,50.586590376804594+6.821881769209206*I
49.075454085278096,51.291064103286+6.821881769209206*I
46.5322250754665,51.11832319794981+6.821881769209206*I
73.86150619593928,52.52961215830426+6.821881769209206*I
86.95072345335973,52.99086751849258+6.821881769209206*I
62.54992240736297,52.04240040730663+6.821881769209206*I
56.59266363007046,51.738961021084094+6.821881769209206*I
14.969989497689824,44.93139468363776+6.821881769209206*I
57.555549324554676,51.79070442840359+6.821881769209206*I
80.62985033041338,52.77936665475835+6.821881769209206*I
31.46770905939337,49.71925156826473+6.821881769209206*I
22.357697565839004,48.165714677924996+6.821881769209206*I
84.16453214802178,52.8999763087571+6.821881769209206*I
18.343115917830133,46.93824821426109+6.821881769209206*I
19.60326414348252,47.39522637861298+6.821881769209206*I
12.647649278564472,36.12585749093032+6.821881769209206*I
61.25138509357217,51.979479205492254+6.821881769209206*I
70.07038002002969,52.37723047230346+6.821881769209206*I
73.22073497102193,52.504537288890454+6.821881769209206*I
22.49638397728731,48.19867461822508+6.821881769209206*I
46.095721195377735,51.087381780636676+6.821881769209206*I
68.82494635499611,52.32494865891604+6.821881769209206*I
10.113782373425309,44.873732369545706
97.37298053851183,53.302679208119244+6.821881769209206*I
83.49026261289663,52.87744149592435+6.821881769209206*I
89.58371648589784,53.07364271954367+6.821881769209206*I
96.70816846812494,53.28398245615392+6.821881769209206*I
94.15606991916587,53.21078810831757+6.821881769209206*I
56.06135912664092,51.70992130476697+6.821881769209206*I
48.00301320874638,51.219734399676746+6.821881769209206*I
34.33554121350684,50.05560719751188+6.821881769209206*I
35.29879087784141,50.15883900776166+6.821881769209206*I
67.33769995747315,52.260963896750674+6.821881769209206*I
76.97912475166177,52.64794853881761+6.821881769209206*I
